Player;Role;Team;Opponent Team;Opponent Player;Date;Round;Day;Patch;Stage;No Game;all Games;Format;Game of day;Side;Time;Ban;Ban Opponent;Pick;Pick Opponent;Champion;Champion Opponent;Outcome;Kills Team;Turrets Team;Dragon Team;Baron Team;Level;Kills;Deaths;Assists;KDA;CS;CS in Team's Jungle;CS in Enemy Jungle;CSM;Golds;GPM;GOLD%;Vision Score;Wards placed;Wards destroyed;Control Wards Purchased;Detector Wards Placed;VSPM;WPM;VWPM;WCPM;VS%;Total damage to Champion;Physical Damage;Magic Damage;True Damage;DPM;DMG%;K+A Per Minute;KP%;GD@15;Total damage taken
Crisp;SUPPORT;WBG;JDG;Missing;02.09.2024;2;3;v14.15;Regional_Finals_2024;4;5;5;4;Red;00:32:15;Rakan;Kennen;Ziggs;Ivern;Rell;Leona;Loss;5;2;1;1;10;0;5;4;0.8;36;0;0;1.1;7048;219;0.131;116.17;67;22;22;0;3.6;2.08;0.68;0.68;0.429;3229.85;171.12;2463;595.73;100;0.044;0.12;0.8;121;17056.9
Breathe;TOP;WBG;JDG;Flandre;02.09.2024;2;3;v14.15;Regional_Finals_2024;5;5;5;5;Blue;00:26:45;Skarner;Lucian;Ashe;Renekton;KSante;Renekton;Win;14;9;4;1;15;2;0;9;Perfect_KDA;222;0;0;8.3;10412;389;0.201;41.69;15;7;8;0;1.56;0.56;0.3;0.26;0.18;11659.29;9039.47;1616.11;1003.71;436;0.184;0.41;0.786;-478;16269.4
Tarzan;JUNGLE;WBG;JDG;Kanavi;02.09.2024;2;3;v14.15;Regional_Finals_2024;5;5;5;5;Blue;00:26:45;Smolder;Rumble;Rell;Zeri;Maokai;Ivern;Win;14;9;4;1;13;2;0;8;Perfect_KDA;137;128;0;5.1;8651;323;0.167;29;10;2;5;0;1.08;0.37;0.19;0.07;0.125;10755.91;294.37;9569.94;891.6;402;0.17;0.37;0.714;125;23393.6
xiaohu;MID;WBG;JDG;Yagao;02.09.2024;2;3;v14.15;Regional_Finals_2024;5;5;5;5;Blue;00:26:45;Corki;Tristana;KSante;Miss_Fortune;Yone;Zeri;Win;14;9;4;1;16;2;0;7;Perfect_KDA;263;16;0;9.8;11229;420;0.217;31.11;13;7;4;0;1.16;0.49;0.15;0.26;0.134;15117.76;10208.4;2684.55;2224.81;565;0.239;0.34;0.643;-213;18148.5
Light;ADCARRY;WBG;JDG;Ruler;02.09.2024;2;3;v14.15;Regional_Finals_2024;5;5;5;5;Blue;00:26:45;Rakan;Brand;Yone;Alistar;Ashe;Miss_Fortune;Win;14;9;4;1;15;8;0;4;Perfect_KDA;259;12;0;9.7;14486;542;0.28;31.16;10;8;2;0;1.16;0.37;0.07;0.3;0.135;21966.29;19714.4;1177.45;1074.44;821;0.347;0.45;0.857;102;9397.75
Crisp;SUPPORT;WBG;JDG;Missing;02.09.2024;2;3;v14.15;Regional_Finals_2024;5;5;5;5;Blue;00:26:45;Leona;Azir;Maokai;Ivern;Rell;Alistar;Win;14;9;4;1;10;0;3;13;4.3;27;0;0;1;6988;261;0.135;98.52;45;14;17;0;3.68;1.68;0.64;0.52;0.426;3851.26;525.71;2761.55;564;144;0.061;0.49;0.929;-42;10600.3
Flandre;TOP;JDG;WBG;Breathe;02.09.2024;2;3;v14.15;Regional_Finals_2024;5;5;5;5;Red;00:26:45;Lucian;Skarner;Renekton;Ashe;Renekton;KSante;Loss;3;3;0;0;14;0;3;0;0;216;10;0;8.1;8990;336;0.203;21.12;9;4;5;0;0.79;0.34;0.19;0.15;0.102;6155.06;5113.08;1041.98;0;230;0.176;0;0;478;28138.9
Kanavi;JUNGLE;JDG;WBG;Tarzan;02.09.2024;2;3;v14.15;Regional_Finals_2024;5;5;5;5;Red;00:26:45;Rumble;Smolder;Zeri;Rell;Ivern;Maokai;Loss;3;3;0;0;12;0;2;1;0.5;153;138;0;5.7;7992;299;0.181;36.58;6;6;4;0;1.37;0.22;0.15;0.22;0.176;2209.2;532.38;1026.6;650.22;83;0.063;0.04;0.333;-125;6849.4
Yagao;MID;JDG;WBG;xiaohu;02.09.2024;2;3;v14.15;Regional_Finals_2024;5;5;5;5;Red;00:26:45;Tristana;Corki;Miss_Fortune;KSante;Zeri;Yone;Loss;3;3;0;0;14;1;2;0;0.5;259;12;0;9.7;10864;406;0.246;40.11;7;16;1;0;1.5;0.26;0.04;0.6;0.193;11634.22;7507.69;4126.53;0;435;0.332;0.04;0.333;213;14737.8
Ruler;ADCARRY;JDG;WBG;Light;02.09.2024;2;3;v14.15;Regional_Finals_2024;5;5;5;5;Red;00:26:45;Brand;Rakan;Alistar;Yone;Miss_Fortune;Ashe;Loss;3;3;0;0;12;2;3;1;1;238;4;0;8.9;10386;388;0.235;35.7;10;14;2;0;1.33;0.37;0.07;0.52;0.172;11514.68;10881.2;561.48;72;430;0.328;0.11;1;-102;7956.94
Missing;SUPPORT;JDG;WBG;Crisp;02.09.2024;2;3;v14.15;Regional_Finals_2024;5;5;5;5;Red;00:26:45;Azir;Leona;Ivern;Maokai;Alistar;Rell;Loss;3;3;0;0;8;0;4;3;0.8;18;0;0;0.7;5995;224;0.136;73.99;48;3;18;0;2.77;1.79;0.67;0.11;0.357;3539.73;204.51;2692.27;642.95;132;0.101;0.11;1;42;17439.3
